order_id,customer_id,store_id,order_date,total_amount
ORD-00001,CUST-001,ST-CA-002,2023-01-05,165.00
ORD-00002,CUST-001,ST-TX-001,2023-10-31,270.00
ORD-00003,CUST-001,ST-PA-002,2024-04-17,140.00
ORD-00004,CUST-001,ST-CA-002,2025-09-19,130.00
ORD-00005,CUST-002,ST-CA-002,2017-05-29,140.00
ORD-00006,CUST-002,ST-TX-001,2017-12-05,75.00
ORD-00007,CUST-002,ST-PA-001,2018-11-04,140.00
ORD-00008,CUST-002,ST-TX-002,2018-11-05,270.00
ORD-00009,CUST-002,ST-CA-001,2020-06-06,125.97
ORD-00010,CUST-002,ST-CA-002,2020-07-10,180.00
ORD-00011,CUST-002,ST-FL-001,2024-03-24,260.00
ORD-00012,CUST-003,ST-TX-002,2021-12-05,75.00
ORD-00013,CUST-003,ST-TX-001,2022-09-18,130.00
ORD-00014,CUST-003,ST-PA-002,2023-05-27,85.00
ORD-00015,CUST-003,ST-TX-002,2024-12-11,155.00
ORD-00016,CUST-003,ST-PA-002,2025-10-15,78.00
ORD-00017,CUST-003,ST-TX-001,2025-10-21,270.00
ORD-00018,CUST-003,ST-TX-002,2025-10-29,140.00
ORD-00019,CUST-003,ST-TX-001,2026-05-04,160.00
ORD-00020,CUST-004,ST-NY-001,2018-10-25,75.00
ORD-00021,CUST-004,ST-CA-002,2019-06-02,140.00
ORD-00022,CUST-004,ST-FL-001,2019-10-30,75.00
ORD-00023,CUST-004,ST-FL-001,2022-01-02,125.97
ORD-00024,CUST-004,ST-CA-001,2023-05-07,100.00
ORD-00025,CUST-005,ST-FL-001,2020-02-27,140.00
ORD-00026,CUST-005,ST-TX-001,2022-01-08,230.00
ORD-00027,CUST-005,ST-NY-001,2024-06-18,100.00
ORD-00028,CUST-005,ST-TX-002,2024-09-07,140.00
ORD-00029,CUST-006,ST-TX-002,2021-09-09,180.00
ORD-00030,CUST-006,ST-NY-001,2023-04-03,165.00
ORD-00031,CUST-006,ST-CA-002,2024-01-01,75.00
ORD-00032,CUST-006,ST-NY-001,2025-11-01,60.00
ORD-00033,CUST-007,ST-PA-002,2025-04-24,160.00
ORD-00034,CUST-007,ST-PA-001,2025-07-30,165.00
ORD-00035,CUST-007,ST-TX-001,2025-11-21,140.00
ORD-00036,CUST-007,ST-NY-001,2026-01-30,250.00
ORD-00037,CUST-007,ST-CA-002,2026-03-13,75.00
ORD-00038,CUST-008,ST-TX-001,2017-05-20,160.00
ORD-00039,CUST-008,ST-NY-001,2017-09-16,140.00
ORD-00040,CUST-008,ST-CA-001,2018-07-04,75.00
ORD-00041,CUST-008,ST-PA-002,2021-02-27,180.00
ORD-00042,CUST-008,ST-TX-001,2021-04-20,155.00
ORD-00043,CUST-008,ST-CA-001,2021-08-02,180.00
ORD-00044,CUST-008,ST-TX-001,2022-07-19,115.00
ORD-00045,CUST-008,ST-NY-001,2022-07-27,75.00
ORD-00046,CUST-008,ST-TX-002,2022-11-16,140.00
ORD-00047,CUST-008,ST-PA-001,2023-05-21,115.00
ORD-00048,CUST-008,ST-TX-001,2023-10-22,98.97
ORD-00049,CUST-008,ST-PA-002,2024-10-08,69.97
ORD-00050,CUST-009,ST-CA-002,2019-01-02,75.00
ORD-00051,CUST-009,ST-NY-001,2019-03-25,140.00
ORD-00052,CUST-009,ST-PA-001,2021-03-17,115.00
ORD-00053,CUST-009,ST-NY-001,2024-09-29,160.00
ORD-00054,CUST-010,ST-FL-001,2026-05-07,160.00
ORD-00055,CUST-010,ST-FL-001,2026-05-08,160.00
ORD-00056,CUST-010,ST-TX-001,2026-05-25,180.00
ORD-00057,CUST-010,ST-PA-001,2026-05-31,170.00
ORD-00058,CUST-010,ST-PA-002,2026-06-13,125.97
ORD-00059,CUST-011,ST-NY-001,2019-10-13,75.00
ORD-00060,CUST-011,ST-PA-002,2019-10-13,60.00
ORD-00061,CUST-011,ST-CA-001,2020-01-02,150.00
ORD-00062,CUST-011,ST-TX-002,2020-04-01,140.00
ORD-00063,CUST-011,ST-NY-001,2021-07-13,160.00
ORD-00064,CUST-011,ST-TX-001,2023-01-24,140.00
ORD-00065,CUST-011,ST-CA-001,2023-12-27,115.00
ORD-00066,CUST-011,ST-TX-002,2024-03-28,170.00
ORD-00067,CUST-011,ST-TX-002,2025-04-16,140.00
ORD-00068,CUST-011,ST-PA-002,2025-11-15,60.00
ORD-00069,CUST-011,ST-CA-002,2025-12-19,115.00
ORD-00070,CUST-011,ST-NY-001,2026-05-07,180.00
ORD-00071,CUST-012,ST-PA-001,2020-05-25,100.00
ORD-00072,CUST-012,ST-PA-002,2020-07-25,115.00
ORD-00073,CUST-012,ST-CA-001,2021-02-22,75.00
ORD-00074,CUST-012,ST-NY-001,2022-01-01,160.00
ORD-00075,CUST-012,ST-CA-001,2022-12-01,230.00
ORD-00076,CUST-012,ST-PA-001,2023-09-12,75.00
ORD-00077,CUST-012,ST-NY-001,2024-01-28,75.00
ORD-00078,CUST-012,ST-TX-001,2024-02-05,140.00
ORD-00079,CUST-012,ST-PA-002,2024-03-15,100.00
ORD-00080,CUST-012,ST-CA-001,2025-05-11,115.00
ORD-00081,CUST-012,ST-TX-002,2025-06-14,98.97
ORD-00082,CUST-013,ST-CA-001,2017-11-03,140.00
ORD-00083,CUST-013,ST-TX-001,2017-12-21,180.00
ORD-00084,CUST-013,ST-FL-001,2019-01-30,140.00
ORD-00085,CUST-013,ST-CA-002,2020-08-18,75.00
ORD-00086,CUST-013,ST-TX-001,2021-08-11,140.00
