sku,name,brand,gender,colorways,sizes,image_url,description,marketing_pdf_url,price,stock_quantity,warehouse_location
DD8959-100,Nike Air Force 1 '07,Nike,Women,White/White,"6,6.5,7,7.5,8,8.5,9",https://images.nike.com/is/image/DotCom/DD8959_100_A,"The radiance lives on in the Nike Air Force 1 '07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colors and the perfect amount of flash to make you shine.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/DD8959-100.pdf,115.00,250,WH-EAST-1
CW2288-111,Nike Air Force 1 '07,Nike,Men,White/White,"9,9.5,10,10.5,11,11.5,12",https://images.nike.com/is/image/DotCom/CW2288_111_A,"The radiance lives on in the Nike Air Force 1 '07, the basketball original that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/CW2288-111.pdf,115.00,300,WH-EAST-1
DD1391-100,Nike Dunk Low,Nike,Men,White/Black,"8.5,9,9.5,10,10.5,11,12",https://images.nike.com/is/image/DotCom/DD1391_100_A,"Created for the hardwood but taken to the streets, the Nike Dunk Low Retro returns with crisp overlays and original team colors. This basketball icon channels '80s vibes with premium leather.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/DD1391-100.pdf,115.00,180,WH-WEST-2
DD1503-101,Nike Dunk Low,Nike,Women,White/Black,"6,6.5,7,7.5,8,8.5,9",https://images.nike.com/is/image/DotCom/DD1503_101_A,"Created for the hardwood but taken to the streets, the Nike Dunk Low Retro returns with crisp overlays and original team colors. This basketball icon channels '80s vibes.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/DD1503-101.pdf,115.00,150,WH-WEST-2
DV3853-001,Nike Pegasus 40,Nike,Men,Black/White-Anthracite,"8,9,10,11,12,13",https://images.nike.com/is/image/DotCom/DV3853_001_A,"A springy ride for every run, the Peg's familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/DV3853-001.pdf,140.00,320,WH-MIDWEST-1
DV3854-001,Nike Pegasus 40,Nike,Women,Black/White-Anthracite,"6,7,8,9,10",https://images.nike.com/is/image/DotCom/DV3854_001_A,"A springy ride for every run, the Peg's familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/DV3854-001.pdf,140.00,240,WH-MIDWEST-1
3026685-001,UA Charged Assert 10,Under Armour,Men,Black/White,"8,9,10,11,12,13",https://underarmour.scene7.com/is/image/UnderArmour/V5-3026685-001_FC","These are running shoes anyone can run in. They're light, comfortable, and durable enough to last. The Charged Cushioning protects against impact, while leather overlays add stable durability.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3026685-001.pdf,75.00,400,WH-EAST-1
3026686-001,UA Charged Assert 10,Under Armour,Women,Black/White,"6,7,8,9,10",https://underarmour.scene7.com/is/image/UnderArmour/V5-3026686-001_FC","These are running shoes anyone can run in. They're light, comfortable, and durable enough to last. The Charged Cushioning protects against impact, while leather overlays add stable durability.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3026686-001.pdf,75.00,310,WH-EAST-1
3025516-002,UA HOVR Phantom 3,Under Armour,Men,Black/Jet Gray,"8.5,9,9.5,10,10.5,11,11.5,12",https://underarmour.scene7.com/is/image/UnderArmour/V5-3025516-002_FC","The off-season is for getting better. That means lots of running. The fast, stretchy UA HOVR Phantom 3 helps you explode through interval after interval with even more energy-returning UA HOVR cushioning.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3025516-002.pdf,140.00,120,WH-WEST-2
3025517-002,UA HOVR Phantom 3,Under Armour,Women,Black/Jet Gray,"6,6.5,7,7.5,8,8.5,9",https://underarmour.scene7.com/is/image/UnderArmour/V5-3025517-002_FC","The off-season is for getting better. That means lots of running. The fast, stretchy UA HOVR Phantom 3 helps you explode through interval after interval with even more energy-returning UA HOVR cushioning.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3025517-002.pdf,140.00,110,WH-WEST-2
3026534-100,UA Project Rock 6,Under Armour,Men,Grey/Black,"8,9,10,11,12,13",https://underarmour.scene7.com/is/image/UnderArmour/V5-3026534-100_FC","The new Project Rock training gear is built to help you find boundaries, then push right through them. Everything in this collection was personally approved by Dwayne Johnson, the hardest worker in the room.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3026534-100.pdf,160.00,90,WH-MIDWEST-1
3026535-100,UA Project Rock 6,Under Armour,Women,Grey/Black,"6,7,8,9,10",https://underarmour.scene7.com/is/image/UnderArmour/V5-3026535-100_FC","The new Project Rock training gear is built to help you find boundaries, then push right through them. Everything in this collection was personally approved by Dwayne Johnson, the hardest worker in the room.",https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3026535-100.pdf,160.00,80,WH-MIDWEST-1
IQ3928-001,Nike Pegasus 42,Nike,Men,Black/Medium Ash/Metallic Silver/Black,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6082725e-335b-497d-b31c-3b98c47b56f2/pegasus-42-mens-road-running-shoes-S1bYkOza.png",Responsive full-length cushioning sculpted to energize an icon.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/IQ3928-001.pdf,155.00,262,WH-MIDWEST-1
IQ3925-001,Nike Vomero 18,Nike,Men,Black/White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/vomero-18.png",Premium cushioning and support for long runs.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/IQ3925-001.pdf,165.00,211,WH-WEST-2
HQ2050-106,Nike Vomero Premium,Nike,Men,White/Sail/Black,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/vomero-premium.png",Elevated materials and classic cushioning.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/HQ2050-106.pdf,230.00,78,WH-EAST-1
HV8150-301,Nike Vomero Plus,Nike,Men,Green/Black,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/vomero-plus.png",Extra cushioning for maximum comfort.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/HV8150-301.pdf,180.00,115,WH-MIDWEST-1
HV8113-103,ACG Zegama Trail,Nike,Men,Sail/Black,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/zegama-trail.png",Rugged trail shoe for tough terrain.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/HV8113-103.pdf,180.00,216,WH-WEST-2
HV8116-310,Nike ACG Pegasus Trail,Nike,Men,Green/Brown,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/pegasus-trail.png",Versatile road-to-trail performance.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/HV8116-310.pdf,155.00,71,WH-EAST-1
HF5668-003,Nike ACG Ultrafly Trail,Nike,Men,Grey/Black,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ultrafly-trail.png",Elite trail racing performance.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/HF5668-003.pdf,260.00,50,WH-EAST-1
FD8311-300,Nike Alphafly 3,Nike,Men,Green/Volt,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/alphafly-3.png",The ultimate marathon racing shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/FD8311-300.pdf,295.00,313,WH-EAST-1
