order_id,sku,quantity,price
ORD-00001,IQ3925-001,1,165.00
ORD-00002,HF6414-300,1,270.00
ORD-00003,DV3853-001,1,140.00
ORD-00004,6000007,1,130.00
ORD-00005,3025517-002,1,140.00
ORD-00006,3026685-001,1,75.00
ORD-00007,FV2338-103,1,140.00
ORD-00008,HF6414-300,1,270.00
ORD-00009,6005287,1,125.97
ORD-00010,FN8454-300,1,180.00
ORD-00011,HF5668-003,1,260.00
ORD-00012,6006725,1,75.00
ORD-00013,6000007,1,130.00
ORD-00014,6014417,1,85.00
ORD-00015,IQ3928-001,1,155.00
ORD-00016,6013582,1,78.00
ORD-00017,HF6414-300,1,270.00
ORD-00018,6008994,1,140.00
ORD-00019,3026534-100,1,160.00
ORD-00020,3026685-001,1,75.00
ORD-00021,3025516-002,1,140.00
ORD-00022,3026686-001,1,75.00
ORD-00023,6005287,1,125.97
ORD-00024,6009107,1,100.00
ORD-00025,FV2338-103,1,140.00
ORD-00026,HQ2050-106,1,230.00
ORD-00027,6009107,1,100.00
ORD-00028,DV3854-001,1,140.00
ORD-00029,HV8113-103,1,180.00
ORD-00030,IQ3925-001,1,165.00
ORD-00031,3026685-001,1,75.00
ORD-00032,3021235,1,60.00
ORD-00033,6006030,1,160.00
ORD-00034,IQ3925-001,1,165.00
ORD-00035,DV3853-001,1,140.00
ORD-00036,6005377,1,250.00
ORD-00037,3026686-001,1,75.00
ORD-00038,3026535-100,1,160.00
ORD-00039,DV3853-001,1,140.00
ORD-00040,6006723,1,75.00
ORD-00041,FN8454-300,1,180.00
ORD-00042,IQ3928-001,1,155.00
ORD-00043,HV8113-103,1,180.00
ORD-00044,DD8959-100,1,115.00
ORD-00045,6006725,1,75.00
ORD-00046,3026519,1,140.00
ORD-00047,DD1391-100,1,115.00
ORD-00048,3026501,1,98.97
ORD-00049,3026175,1,69.97
ORD-00050,6006723,1,75.00
ORD-00051,3025517-002,1,140.00
ORD-00052,DD1503-101,1,115.00
ORD-00053,3026534-100,1,160.00
ORD-00054,6006030,1,160.00
ORD-00055,3026534-100,1,160.00
ORD-00056,HV8150-301,1,180.00
ORD-00057,6007639,1,170.00
ORD-00058,6005287,1,125.97
ORD-00059,II7399-100,1,75.00
ORD-00060,3021235,1,60.00
ORD-00061,FV3929-103,1,150.00
